"nearest_warehouse","order_price","delivery_charges","customer_lat","customer_long","coupon_discount","order_total","season","is_expedited_delivery","distance_to_nearest_warehouse","is_happy_customer"
"Thompson",31750,63.75,-37.8148243,144.9376494,5,30226.25,"Winter","False",0.8623,"True"
"Nickolson",3320,68.12,37.8045175,144.9694499,10,3056.12,"Autumn","False",1.5671,"True"
"Thompson",20360,67.54,-37.802198,144.9604986,10,18391.54,"Autumn","False",1.6598,"True"
"Thompson",11130,66.28,-37.8045436,144.9487414,25,8413.78,"Autumn","True",0.9168,"False"
"Nickolson",8950,79.87,-37.8100903,144.9785812,10,8134.87,"Winter","True",1.2357,"True"
"Nickolson",15070,79.13,-37.8096284,144.9725683,5,14395.63,"Autumn","True",1.0328,"True"
"Thompson",3685,62.8,-37.8187901,144.9529565,15,3195.05,"Autumn","True",0.8554,"False"
"Bakers",1660,51.82,-37.8186293,145.0039008,5,1628.82,"Autumn","False",1.2267,"False"
"Thompson",597240,79.91,-37.8012946,144.9457873,5,18338.91,"Winter","True",1.2716,"True"
"Thompson",4405,77.22,-37.8131438,144.9553881,5,4261.97,"Spring","False",0.7335,"True"
"Nickolson",12090,52.04,-37.820842,144.9695038,15,10328.54,"Summer","False",0.2502,"False"
"Bakers",13350,99.58,-37.8134029,145.0025066,15,11203.14,"Spring","True",0.7437,"True"
"Bakers",15080,83.03,-37.8199587,145.0127352,15,12901.03,"Winter","True",1.8971,"True"
"Thompson",8995,66.15,-37.8063227,144.9594192,10,8161.65,"Winter","False",1.296,"True"
"Thompson",12180,67.47,-37.8006466,144.9357718,0,12247.47,"Winter","True",1.6672,"True"
"Nickolson",3085,53.47,-37.8071583,144.9749101,0,3138.47,"Autumn","False",1.3575,"True"
"Nickolson",730,108.58,37.8263393,144.9859063,10,765.58,"Spring","True",1.6767,"True"
"Thompson",19665,78.85,-37.8062538,144.9417001,25,14827.6,"Summer","True",0.7385,"False"
"Nickolson",96385,77.51,-37.8192601,144.9575378,25,8458.76,"Summer","False",1.059,"True"
"Bakers",26455,78.3,-37.8032475,144.9890489,10,23887.8,"Autumn","False",0.9274,"True"
"Nickolson",13820,105.47,-37.8012019,144.9699293,0,13925.47,"Summer","True",1.9364,"True"
"Nickolson",13210,61.09,-37.8112736,144.9729621,15,11289.59,"Spring","False",0.8684,"False"
"Nickolson",2885,63.11,-37.8056344,144.9668635,25,2226.86,"Summer","False",1.462,"False"
"Nickolson",2610,104.71,-37.821389,144.9839684,0,2714.71,"Spring","True",1.3054,"True"
"Bakers",10820,64.03,-37.8063268,145.0097338,0,5688269.6,"Summer","False",1.3392,"False"
"Nickolson",17410,108.58,-37.8027408,144.9734085,25,13166.08,"Spring","True",1.7972,"True"
"Thompson",63500,107.18,-37.8033314,144.9591308,25,4622.18,"Spring","True",1.4855,"True"
"Bakers",585,91.79,-37.8007984,145.0054278,25,639.29,"Spring","True",1.361,"False"
"Thompson",21580,74.21,37.7914845,144.9367602,15,18417.21,"Winter","False",2.5269,"True"
"Thompson",9950,76.41,-37.8124005,144.9366922,25,88124.81,"Winter","True",0.9131,"True"
"Thompson",12765,62.55,-37.8131796,144.9515325,10,11551.05,"Autumn","True",0.3966,"False"
"Nickolson",8725,66.86,-37.8128124,144.9657905,15,7483.11,"Autumn","False",0.7237,"True"
"Bakers",461736,87.31,-37.8184967,145.0154168,25,9709.81,"Spring","False",2.0115,"True"
"Nickolson",4510,79.49,-37.8214422,144.9580457,15,3912.99,"Autumn","True",1.0602,"True"
"Bakers",17660,76.77,-37.817826,144.9923277,5,16853.77,"Spring","False",0.9083,"True"
"Thompson",7050,74.5,-37.8174523,144.9459675,10,6419.5,"Summer","True",0.5407,"False"
"Nickolson",10585,79.98,-37.8207881,144.979309,25,8018.73,"Autumn","True",0.8921,"True"
"Nickolson",8630,91.54,-37.8192474,144.9610481,10,7858.54,"Summer","True",0.7512,"True"
"Nickolson",14950,48.99,-37.8195758,144.9632486,5,14251.49,"Autumn","False",0.5649,"False"
"Bakers",6460,105.1,-37.8020929,144.9795497,5,6242.1,"Spring","True",1.636,"True"
"Thompson",15800,61.64,-37.818553,144.9678922,10,14281.64,"Winter","False",0.1459,"True"
"Nickolson",5220,72.31,-37.821015,144.9771755,10,4770.31,"Summer","False",0.7225,"True"
"Bakers",29195,73.43,-37.8049082,144.9468264,25,21969.68,"Summer","False",0.8646,"True"
"Bakers",14175,55.71,-37.8003719,144.9752763,0,14230.71,"Winter","False",94.9734,"False"
"Nickolson",4405,69.62,-37.8150464,144.9718458,15,3813.87,"Summer","False",0.4436,"True"
"Nickolson",14260,94.56,-37.8136563,144.9612615,25,10789.56,"Summer","True",0.913,"True"
"Thompson",7200,60.64,-37.8058336,145.0195185,15,6180.64,"Spring","False",0.7621,"False"
"Bakers",15290,77.3,-37.8075137,144.9879565,5,14602.8,"Summer","True",0.697,"False"
"Thompson",6780,75.54,-37.8157195,144.9371449,0,6855.54,"Summer","False",0.9363,"True"
"Thompson",20500,66.24,-37.8243506,144.9438143,0,20566.24,"Autumn","False",1.331,"True"
"Thompson",13270,56.17,-37.8181279,144.9485845,10,11999.17,"Summer","False",0.6217,"False"
"Thompson",7330,63.11,-37.8072912,144.9444704,5,7026.61,"Autumn","False",0.6412,"True"
"Nickolson",20600,87.01,-37.7989897,144.9667971,25,15537.01,"Summer","False",2.1958,"True"
"Nickolson",9465,70.01,-37.8246536,144.9547414,15,8115.26,"Winter","False",1.4665,"True"
"Thompson",947691,90.82,-37.8093685,144.9493415,10,9266.32,"Summer","True",0.4187,"True"
"Thompson",16570,102.72,-37.8008617,144.9608163,10,15015.72,"Summer","True",1.7862,"True"
"Nickolson",15005,77.98,-37.8151119,144.9612114,0,15082.98,"Winter","True",0.8296,"True"
"Nickolson",5910,108.54,-37.8024922,144.9809522,5,5723.04,"Spring","True",1.5083,"True"
"Thompson",7360,107.35,-37.826394,145.0194182,25,5627.35,"Spring","True",1.5854,"True"
"Nickolson",29250,81.45,-37.8093611,144.9645195,5,27868.95,"Autumn","True",1.1191,"True"
"Thompson",8770,77.74,-37.8105357,144.9593008,25,6655.24,"Summer","False",1.1017,"True"
"Thompson",24680,76.85,-37.8211126,144.9472811,25,18586.85,"Winter","True",0.9396,"True"
"Thompson",8985,101.65,-37.8162225,144.9383605,15,7738.9,"Spring","True",0.8617,"True"
"Nickolson",7050,66.21,37.8081194,144.9731848,25,5353.71,"Winter","False",1.2091,"True"
"Bakers",3685,80.31,-37.8092623,144.9838244,0,3765.31,"Autumn","True",1.0066,"True"
"Thompson",20985,81.66,-37.8007705,144.9574101,15,17918.91,"Summer","False",1.6071,"True"
"Thompson",21310,98.58,-37.8135412,144.9426636,0,21408.58,"Spring","True",0.3993,"True"
"Thompson",23900,75.41,-37.8181125,144.9486411,25,18000.41,"Spring","False",0.6211,"True"
"Nickolson",22540,72.88,-37.8210654,144.9664847,15,19231.88,"Spring","False",0.3851,"True"
"Bakers",26730,65.9,-37.8088109,144.9831656,0,26795.9,"Summer","False",1.0694,"True"
"Thompson",18075,79.49,-37.8040695,144.9582857,0,87224.69,"Summer","False",1.3749,"True"
"Thompson",7910,50.65,-37.8087002,144.9566447,25,5983.15,"Autumn","False",0.9512,"False"
"Nickolson",20655,64.96,37.8102462,144.9613499,5,19687.21,"Winter","False",1.1764,"True"
"Nickolson",23450,77.17,-37.8146899,144.9690651,5,22354.67,"Autumn","True",0.4368,"True"
"Nickolson",16130,98.5,-37.8182748,144.9755146,10,14615.5,"Spring","True",0.5256,"True"
"Thompson",6890,88.33,-37.8012547,144.9626936,5,6633.83,"Summer","True",1.8719,"False"
"Thompson",30650,63.01,-37.8061405,144.9449158,25,23050.51,"Autumn","True",0.7515,"False"
"Thompson",13810,68.86,-37.8023661,144.9620569,5,13188.36,"Winter","False",1.7476,"True"
"Bakers",23890,78.08,-37.817826,144.9923277,25,17995.58,"Spring","False",0.9083,"True"
"Nickolson",22800,64.78,-37.8209822,144.9845129,10,20584.78,"Autumn","False",1.3422,"True"
"Bakers",11100,76.14,-37.818311,145.0043774,5,10621.14,"Summer","False",1.2262,"True"
"Nickolson",2990,52.2,-37.8080795,144.9692773,25,3434.7,"Winter","False",1.1708,"False"
"Thompson",98614,98.48,-37.8183743,144.9486428,15,5449.23,"Spring","True",0.6495,"True"
"Nickolson",15070,52.92,-37.8058582,145.0183945,5,14369.42,"Autumn","False",1.4507,"False"
"Thompson",22620,76.14,-37.8184735,144.9486815,15,19303.14,"Spring","False",0.6611,"True"
"Thompson",20935,67.26,-37.8044309,144.9624253,15,17862.01,"Autumn","False",1.6327,"True"
"Thompson",3310,64.61,-37.8019303,144.9572928,25,2547.11,"Winter","True",1.4962,"False"
"Bakers",10180,62.63,-37.8105551,145.0006641,5,9733.63,"Summer","True",0.4818,"False"
"Thompson",12400,58.96,-37.8132087,144.9903708,15,10598.96,"Spring","False",0.5574,"False"
"Thompson",11895,78.59,-37.8032857,144.9502708,15,10189.34,"Winter","True",1.0823,"True"
"Nickolson",14320,100.74,-37.8142345,144.9637244,15,12272.74,"Spring","True",0.7058,"True"
"Nickolson",20300,63.68,-37.8121827,144.9697962,0,20363.68,"Autumn","False",0.154,"True"
"Thompson",18195,79.06,-37.8002551,144.9509615,0,18274.06,"Spring","False",1.4241,"True"
"Thompson",15545,58.15,-37.8187778,144.9528494,25,11716.9,"Summer","False",0.8486,"False"
"Thompson",11350,71.61,-37.8065706,144.9449806,25,8584.11,"Summer","False",0.7037,"True"
"Thompson",10520,46.73,-37.8127164,144.9429385,5,10040.73,"Winter","False",0.5416,"False"
"Nickolson",15070,72.28,-37.8192236,144.9611303,25,11374.78,"Summer","False",0.7438,"True"
"Bakers",2455,71.64,-37.8010132,144.9775605,5,82214.42,"Winter","False",1.8481,"True"
"Nickolson",25025,58.37,-37.8155991,144.9622488,10,22580.87,"Summer","False",0.7236,"False"
"Nickolson",34400,93.7,-37.8126201,144.965171,10,31053.7,"Summer","True",0.7686,"True"
"Nickolson",14905,101.2,-37.8140787,144.9641242,10,13515.7,"Summer","True",0.6932,"True"
"Thompson",6630,51.2,-37.8014968,144.9548846,10,6018.2,"Winter","False",1.4214,"True"
"Nickolson",7490,96.49,-37.8179311,144.9673941,25,5713.99,"Spring","True",0.2036,"True"
"Nickolson",8085,77.8,-37.8206783,144.9793054,15,6950.05,"Winter","True",0.8885,"True"
"Nickolson",2455,77.02,-37.8125548,144.9650658,5,909463.94,"Summer","True",0.7795,"False"
"Bakers",6810,73.36,-37.8252835,145.011873,15,5861.86,"Winter","False",2.2444,"True"
"Nickolson",1525,76.29,-37.8117127,144.9716148,0,1601.29,"Winter","True",0.7873,"True"
"Thompson",9250,64.23,-37.808963,144.9489466,5,8851.73,"Winter","False",0.4448,"True"
"Thompson",22310,66.11,-37.8041173,144.9479909,15,19029.61,"Winter","False",0.9559,"True"
"Thompson",37570,79.94,-37.8048702,144.961308,0,37649.94,"Autumn","True",1.524,"True"
"Nickolson",7490,101.29,-37.8190572,144.9614507,10,6842.29,"Spring","True",0.7142,"True"
"Thompson",23080,88.87,-37.8000613,144.9611656,25,17398.87,"Summer","True",1.873,"False"
"Bakers",20660,77.33,-37.8187231,145.0037836,15,17638.33,"Spring","False",1.2285,"True"
"Thompson",22000,63.58,-37.8083317,144.9547551,5,20963.58,"Autumn","False",73.8324,"True"
"Nickolson",2655,64.78,-37.8135027,144.9656729,10,2454.28,"Autumn","False",0.6615,"True"
"Nickolson",7360,75.28,37.8158973,144.964698,5,7067.28,"Spring","False",0.5218,"True"
"Bakers",653959,66.18,-37.8108985,144.9966202,5,21441.18,"Summer","False",0.1581,"True"
"Nickolson",6800,71.89,-37.8201111,144.9684911,15,5851.89,"Winter","True",0.1928,"True"
"Bakers",4030,76.56,-37.8119516,144.9860757,5,3905.06,"Spring","False",0.8342,"True"
"Nickolson",7535,73.2,-37.815026,144.9608825,5,7231.45,"Summer","False",0.8596,"True"
"Thompson",5975,85.9,-37.8052239,145.0165925,0,6060.9,"Summer","True",1.6131,"False"
"Thompson",16580,110.36,-37.8010832,144.9637813,0,16690.36,"Spring","True",1.9558,"True"
"Thompson",22100,52.84,-37.8156977,144.9582655,5,21047.84,"Autumn","False",1.0406,"False"
"Thompson",87622,78.72,-37.8092805,144.9320471,5,10808.97,"Summer","False",1.374,"True"
"Nickolson",5370,95.71,-37.8203826,144.9820358,5,5197.21,"Summer","True",1.1157,"True"
"Nickolson",3410,83.28,-37.803208,144.9738755,25,2640.78,"Autumn","True",1.7546,"True"
"Bakers",8940,75.91,-37.8156647,144.9979117,5,8568.91,"Winter","True",0.5422,"True"
"Thompson",19520,88.17,-37.8137364,144.936811,15,16680.17,"Spring","True",0.9098,"False"
"Thompson",12755,107.36,-37.0548666,144.9344702,5,12224.61,"Spring","True",1.3928,"True"
"Bakers",3710,87.61,-37.8254825,144.9962161,15,3241.11,"Summer","True",1.7261,"False"
"Thompson",17410,64.76,-37.8038748,145.015497,15,14863.26,"Autumn","False",1.0053,"True"
"Nickolson",19670,103.7,37.8074687,144.9708683,10,17806.7,"Spring","True",1.244,"True"
"Nickolson",20350,75.39,-37.8139812,144.971284,15,17372.89,"Spring","False",0.5357,"True"
"Nickolson",2600,57.82,-37.823736,144.9761444,10,2397.82,"Summer","False",0.8146,"True"
"Thompson",7725,94.19,-37.8126336,144.937464,25,5887.94,"Summer","True",0.8447,"True"
"Nickolson",26455,79.25,-37.8206252,144.9822383,15,22566,"Spring","False",1.1383,"True"
"Bakers",9060,55.98,-37.8001274,144.98119,10,8209.98,"Winter","False",1.6529,"False"
"Bakers",9865,112.04,-37.8218441,145.0153367,0,9977.04,"Spring","True",2.2057,"True"
"Nickolson",1010,56.5,-37.8196563,144.9716825,15,915,"Spring","False",0.2216,"False"
"Bakers",9510,61.44,-37.803335,144.9899256,25,7193.94,"Spring","False",0.8761,"False"
"Thompson",15130,66.9,-37.8225159,144.9477823,10,13683.9,"Autumn","False",1.0975,"True"
"Thompson",12805,79.18,-37.8211236,144.9549655,25,9682.93,"Winter","True",1.1692,"True"
"Nickolson",13275,79.95,-37.8112924,144.9637186,0,13354.95,"Summer","True",0.9612,"True"
"Nickolson",26625,98.37,-37.8215382,144.9671453,5,25392.12,"Spring","True",0.39,"True"
"Bakers",7110,81.55,-37.8166074,145.0056193,0,7191.55,"Autumn","True",1.1731,"True"
"Thompson",18460,93.52,-37.8137364,144.936811,25,665085.66,"Summer","True",0.9098,"True"
"Bakers",25740,78.91,-37.8173281,144.990782,0,25818.91,"Autumn","True",0.9051,"True"
"Bakers",5910,68.05,-37.8092558,144.9915114,15,5091.55,"Summer","False",0.3374,"True"
"Thompson",9950,68.24,-37.8092064,144.9606935,0,10018.24,"Autumn","False",1.2588,"True"
"Bakers",7535,105.86,-37.8164844,144.9442059,15,6510.61,"Spring","True",1.1225,"True"
"Nickolson",11100,76.33,-37.8229997,144.9644869,0,11176.33,"Winter","True",0.6623,"True"
"Bakers",1380,67.79,-37.8004687,144.9807587,25,1102.79,"Summer","False",20.8952,"False"
"Nickolson",3310,77.07,-37.8118633,144.9638606,0,3387.07,"Winter","True",0.9011,"False"
"Bakers",21180,82.37,-37.8241038,144.9905894,15,18085.37,"Autumn","True",1.6226,"True"
"Bakers",16450,62.56,-37.8012586,145.0051308,0,16512.56,"Winter","True",1.3054,"False"
"Thompson",14280,113.83,-37.8262599,144.9288674,25,10823.83,"Spring","True",2.2021,"True"
"Thompson",5740,68.3,-37.8015275,144.9622044,0,5808.3,"Summer","False",1.8197,"False"
"Thompson",31110,76.73,-37.805314,144.9416774,5,29631.23,"Winter","True",0.9465,"True"
"Bakers",27400,103.11,-37.8220278,144.9475811,5,26133.11,"Spring","True",1.0423,"True"
"Bakers",12810,84.86,-37.8090833,145.0116283,10,11613.86,"Autumn","True",76.3419,"True"
"Nickolson",24050,52.14,-37.8244678,144.9565472,5,22899.64,"Autumn","False",1.3171,"False"
"Bakers",3410,62.82,-37.8078693,144.9919205,25,2620.32,"Autumn","False",0.3753,"True"
"Nickolson",17070,104.42,-37.8101023,144.9641327,10,15467.42,"Spring","True",1.0587,"True"
"Bakers",15225,93.93,-37.8169681,144.9901651,10,13796.43,"Summer","True",0.8949,"True"
"Nickolson",5630,77.85,-37.8120357,144.9668588,5,13143.99,"Autumn","True",0.7676,"True"
"Nickolson",32340,97.3,-37.8238772,144.981668,25,24352.3,"Summer","True",1.217,"False"
"Thompson",9100,102.69,-37.8043419,144.9488589,25,6927.69,"Spring","True",0.9407,"True"
"Nickolson",6750,66.52,-37.8173149,144.9688801,5,6479.02,"Summer","False",0.1542,"True"
"Bakers",14845,67.75,-37.8176125,145.0108561,10,13428.25,"Autumn","False",1.6145,"True"
"Nickolson",7760,66.04,-37.8190869,144.9821753,15,6662.04,"Autumn","False",1.536,"True"
"Bakers",14800,80.46,-37.8223332,144.9969724,15,12660.46,"Winter","True",1.3818,"True"
"Nickolson",12350,93.09,-37.8121475,144.9737734,25,9355.59,"Summer","True",0.8081,"True"
"Thompson",9500,76.79,-37.8152716,144.9523118,5,9101.79,"Autumn","True",0.5443,"True"
"Thompson",35180,74.12,-37.8206574,144.9411965,15,29977.12,"Spring","False",1.0279,"True"
"Thompson",454996,79.28,-37.8046728,144.9365014,15,13628.28,"Summer","False",1.2872,"True"
"Thompson",25105,81.7,-37.8042012,144.9279658,0,25186.7,"Autumn","True",1.9267,"True"
"Thompson",12240,61.59,-37.8210664,144.9440588,10,11077.59,"Spring","False",0.9711,"False"
"Thompson",6865,96,37.8235073,144.9398909,15,5931.25,"Summer","True",1.3612,"True"
"Bakers",7900,64.81,-37.8182207,144.9433514,10,7174.81,"Spring","False",1.0661,"False"
"Thompson",25665,67.12,-37.8074393,144.9670156,25,19315.87,"Autumn","False",1.2617,"True"
"Bakers",21285,65.5,-37.8126977,144.990166,0,21350.5,"Autumn","False",0.5375,"True"
"Bakers",12395,112.42,-37.8197041,145.0144204,25,9408.67,"Spring","True",2.0038,"True"
"Thompson",15840,71.27,-37.808659,144.9493715,10,14327.27,"Summer","False",0.4906,"True"
"Thompson",12920,66.96,-37.821639,144.9450746,25,9756.96,"Autumn","False",1.0133,"True"
"Nickolson",9350,65.5,-37.8082928,144.9766195,10,8480.5,"Winter","True",1.3044,"False"
"Bakers",30520,79.13,-37.8198249,144.9954347,15,26021.13,"Summer","True",1.0943,"False"
"Bakers",4910,108.87,-37.801844,144.9813581,25,3791.37,"Autumn","True",1.5207,"True"
"Nickolson",25105,104.49,-37.8113898,144.9714697,5,23954.24,"Spring","True",0.8196,"True"
"Bakers",2890,76.98,-37.8185594,144.9991529,0,2966.98,"Summer","False",1.0137,"True"
"Bakers",17630,65.7,-37.8195942,144.9901822,5,16814.2,"Winter","False",1.157,"True"
"Nickolson",5885,62.65,-37.812587,144.965275,0,5947.65,"Autumn","False",0.7673,"True"
"Nickolson",672832,62.82,-37.820156,144.9669682,25,17972.82,"Autumn","False",0.286,"True"
"Thompson",5630,66.7,-37.8134616,144.944369,10,5133.7,"Summer","False",0.2531,"True"
"Thompson",1619,106.26,-37.8065224,144.9317679,15,2443.76,"Spring","True",1.5098,"True"
"Nickolson",2085,84.92,-37.8003644,144.9792888,10,1961.42,"Spring","False",1.7652,"True"
"Nickolson",8135,76.86,-37.8127111,144.9688045,0,8211.86,"Winter","True",0.6583,"True"
"Thompson",11475,48.71,-37.8114704,144.9375319,10,10376.21,"Autumn","False",0.8493,"False"
"Thompson",5115,91.19,-37.8241714,144.9537569,5,4950.44,"Spring","True",1.4086,"False"
"Thompson",2910,68.01,-37.8217368,144.9306951,10,2687.01,"Autumn","False",1.7582,"True"
"Bakers",10660,75.42,37.8040822,145.0052811,25,8070.42,"Summer","False",1.102,"True"
"Bakers",24360,96.69,-37.8193638,144.9902238,10,22020.69,"Summer","True",1.132,"True"
"Bakers",8110,78.54,-37.8198062,145.0016147,5,7783.04,"Winter","True",1.2278,"True"
"Thompson",20745,67.67,-37.8061546,144.9583045,0,20812.67,"Autumn","False",1.2259,"True"
"Thompson",16940,61.75,-37.8064259,144.9439917,15,14460.75,"Winter","True",0.7462,"False"
"Bakers",6930,64.75,-37.810688,144.9855034,0,6994.75,"Summer","True",0.859,"False"
"Bakers",30990,52.87,-37.802133,145.0041449,5,29493.37,"Autumn","False",1.175,"False"
"Thompson",33870,77.06,-37.8023916,144.9981578,0,33947.06,"Winter","True",0.8848,"True"
"Thompson",11090,98.73,-37.8164447,144.9458051,0,11188.73,"Spring","True",0.4343,"True"
"Thompson",2455,65.85,-37.8253564,144.9462415,15,2152.6,"Spring","False",1.4137,"False"
"Nickolson",2890,65.07,-37.8080672,144.9692183,0,2955.07,"Autumn","True",1.1723,"False"
"Bakers",6630,84.08,-37.8004308,145.0095141,25,5056.58,"Autumn","True",1.6467,"True"
"Nickolson",6200,73.85,-37.8105418,144.9720184,5,5963.85,"Summer","False",0.9223,"True"
"Bakers",25370,66.41,-37.8188878,144.9538868,10,22899.41,"Autumn","False",0.9154,"True"
"Nickolson",17510,75.37,-37.8162093,144.9640567,5,16709.87,"Winter","True",0.5513,"True"
"Nickolson",386776,59.7,-37.817662,144.9704051,10,20174.7,"Winter","True",0.1282,"False"
"Nickolson",22120,62.29,-37.8154693,144.9680827,0,22182.29,"Autumn","True",0.3711,"False"
"Nickolson",16490,106.98,-37.805979,144.9661013,0,16596.98,"Spring","True",1.4368,"True"
"Nickolson",5030,79.89,37.8200711,144.9844351,10,4606.89,"Autumn","True",1.3191,"True"
"Bakers",22370,64.62,-37.812231,144.9886793,15,19079.12,"Autumn","True",0.6277,"False"
